code,name,description,refreshed_at
ALKALI,Alkali Metals Limited,Historical prices for Alkali Metals Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALKALI<br><br>ISIN: INE773I01017,4/12/2018
ALKEM,Alkem Laboratories Limited,Historical prices for Alkem Laboratories Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALKEM<br><br>ISIN: INE540L01014,5/12/2018
ALKYLAMINE,Alkyl Amines Chemicals Limited,Historical prices for Alkyl Amines Chemicals Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALKYLAMINE<br><br>ISIN: INE150B01021,6/12/2018
ALLCARGO,Allcargo Logistics Limited,Historical prices for Allcargo Logistics Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALLCARGO<br><br>ISIN: INE418H01029,7/12/2018
ALLSEC,Allsec Technologies Limited,Historical prices for Allsec Technologies Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALLSEC<br><br>ISIN: INE835G01018,8/12/2018
ALMONDZ,Almondz Global Securities Limited,Historical prices for Almondz Global Securities Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALMONDZ<br><br>ISIN: INE326B01027,9/12/2018
ALOKTEXT,Alok Industries Limited,Historical prices for Alok Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALOKTEXT<br><br>ISIN: INE270A01011,10/12/2018
ALPA,Alpa Laboratories Limited,Historical prices for Alpa Laboratories Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALPA<br><br>ISIN: INE385I01010,11/12/2018
ALPHAGEO,Alphageo (India) Limited,Historical prices for Alphageo (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALPHAGEO<br><br>ISIN: INE137C01018,12/12/2018
ALPINEHOU,Alpine Housing Development Corporation Limited,"Historical prices for Alpine Housing Development Corporation Limited (ALPINEHOU), (ISIN: INE840D01015),  National Stock Exchange of India.",13/12/2018
ALPSINDUS,Alps Industries Limited,Historical prices for Alps Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALPSINDUS<br><br>ISIN: INE093B01015,14/12/2018
ALSTOMTD,Alstom T&D India Limited,Historical prices for Alstom T&D India Limited<br><br>National Stock Exchange of India<br><br>Ticker: ALSTOMTD<br><br>ISIN: INE200A01026,15/12/2018
AMAR,Amar Remedies Limited,"Historical prices for Amar Remedies Limited (AMAR), (ISIN: INE787G01011),  National Stock Exchange of India.",16/12/2018
AMARAJABAT,Amara Raja Batteries Limited,Historical prices for Amara Raja Batteries Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMARAJABAT<br><br>ISIN: INE885A01032,17/12/2018
AMARJOTHI,Amarjothi Spinning Mills Limited,"Historical prices for Amarjothi Spinning Mills Limited (AMARJOTHI), (ISIN: INE484D01012),  National Stock Exchange of India.",18/12/2018
AMBER,Amber Enterprises India Limited,Historical prices for Amber Enterprises India Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMBER<br><br>ISIN: INE371P01015,19/12/2018
AMBIKCO,Ambika Cotton Mills Limited,Historical prices for Ambika Cotton Mills Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMBIKCO<br><br>ISIN: INE540G01014,20/12/2018
AMBUJACEM,Ambuja Cements Limited,Historical prices for Ambuja Cements Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMBUJACEM<br><br>ISIN: INE079A01024,21/12/2018
AMDIND,AMD Industries Limited,Historical prices for AMD Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMDIND<br><br>ISIN: INE005I01014,22/12/2018
AMJLAND,Amj Land Holdings Limited,Historical prices for Amj Land Holdings Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMJLAND<br><br>ISIN: INE606A01024,23/12/2018
AMLSTEEL,AML Steel Limited,"Historical prices for AML Steel Limited (AMLSTEEL), (ISIN: INE577F01018),  National Stock Exchange of India.",24/12/2018
AMRUTANJAN,Amrutanjan Health Care Limited,Historical prices for Amrutanjan Health Care Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMRUTANJAN<br><br>ISIN: INE098F01031,25/12/2018
AMTEKAUTO,Amtek Auto Limited,Historical prices for Amtek Auto Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMTEKAUTO<br><br>ISIN: INE130C01021,26/12/2018
AMTEKINDIA,Amtek India Limited,"Historical prices for Amtek India Limited (AMTEKINDIA), (ISIN: INE068D01021),  National Stock Exchange of India.",27/12/2018
AMTL,Advance Metering Technology Limited,Historical prices for Advance Metering Technology Limited<br><br>National Stock Exchange of India<br><br>Ticker: AMTL<br><br>ISIN: INE436N01029,28/12/2018
ANANDAMRUB,The Anandam Rubber Company Limited,Historical prices for The Anandam Rubber Company Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANANDAMRUB<br><br>ISIN: INE618N01014,29/12/2018
ANANTRAJ,Anant Raj Limited,Historical prices for Anant Raj Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANANTRAJ<br><br>ISIN: INE242C01024,30/12/2018
ANDHRABANK,Andhra Bank,Historical prices for Andhra Bank<br><br>National Stock Exchange of India<br><br>Ticker: ANDHRABANK<br><br>ISIN: INE434A01013,31/12/2018
ANDHRACEMT,Andhra Cements Limited,Historical prices for Andhra Cements Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANDHRACEMT<br><br>ISIN: INE666E01012,1/01/2019
ANDHRSUGAR,The Andhra Sugars Limited,Historical prices for The Andhra Sugars Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANDHRSUGAR<br><br>ISIN: INE715B01013,2/01/2019
ANGIND,ANG Industries Limited,Historical prices for ANG Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANGIND<br><br>ISIN: INE017D01010,3/01/2019
ANIKINDS,Anik Industries Limited,Historical prices for Anik Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANIKINDS<br><br>ISIN: INE087B01017,4/01/2019
ANKITMETAL,Ankit Metal & Power Limited,Historical prices for Ankit Metal & Power Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANKITMETAL<br><br>ISIN: INE106I01010,5/01/2019
ANKURDRUGS,Ankur Drugs And Pharma Limited,"Historical prices for Ankur Drugs And Pharma Limited (ANKURDRUGS), (ISIN: INE238D01012),  National Stock Exchange of India.",6/01/2019
ANSALAPI,Ansal Properties & Infrastructure Limited,Historical prices for Ansal Properties & Infrastructure Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANSALAPI<br><br>ISIN: INE436A01026,7/01/2019
ANSALHSG,Ansal Housing and Construction Limited,Historical prices for Ansal Housing and Construction Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANSALHSG<br><br>ISIN: INE880B01015,8/01/2019
ANTGRAPHIC,Antarctica Limited,Historical prices for Antarctica Limited<br><br>National Stock Exchange of India<br><br>Ticker: ANTGRAPHIC<br><br>ISIN: INE414B01021,9/01/2019
APARINDS,Apar Industries Limited,Historical prices for Apar Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: APARINDS<br><br>ISIN: INE372A01015,10/01/2019
APCL,Anjani Portland Cement Limited,Historical prices for Anjani Portland Cement Limited<br><br>National Stock Exchange of India<br><br>Ticker: APCL<br><br>ISIN: INE071F01012,11/01/2019
APCOTEXIND,Apcotex Industries Limited,Historical prices for Apcotex Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: APCOTEXIND<br><br>ISIN: INE116A01024,12/01/2019
APEX,Apex Frozen Foods Limited,Historical prices for Apex Frozen Foods Limited<br><br>National Stock Exchange of India<br><br>Ticker: APEX<br><br>ISIN: INE346W01013,13/01/2019
APIL,Alstom Projects India Limited,"Historical prices for Alstom Projects India Limited (APIL), (ISIN: INE878A01011), National Stock Eschange of India.",14/01/2019
APLAB,Aplab Limited,"Historical prices for Aplab Limited (APLAB), (ISIN: INE273A01015),  National Stock Exchange of India.",15/01/2019
APLAPOLLO,APL Apollo Tubes Limited,Historical prices for APL Apollo Tubes Limited<br><br>National Stock Exchange of India<br><br>Ticker: APLAPOLLO<br><br>ISIN: INE702C01019,16/01/2019
APLLTD,Alembic Pharmaceuticals Limited,Historical prices for Alembic Pharmaceuticals Limited<br><br>National Stock Exchange of India<br><br>Ticker: APLLTD<br><br>ISIN: INE901L01018,17/01/2019
APOLLO,Apollo Micro Systems Limited,Historical prices for Apollo Micro Systems Limited<br><br>National Stock Exchange of India<br><br>Ticker: APOLLO<br><br>ISIN: INE713T01010,18/01/2019
